Price,Emission Class_Euro 6,Registration_Year,Mileage(miles),Previous Owners,Emission Class_Euro 4
6900,True,2016,70189,3.0,False
1495,False,2008,88585,4.0,True
949,False,2011,137000,,False
2395,False,2010,96731,5.0,True
1000,False,2013,85000,,False
800,False,2007,124196,3.0,True
798,False,2008,140599,,True
1995,False,2009,90000,,True
750,False,2025,225318,,False
1299,False,2008,87000,5.0,True
1495,False,2009,181693,,True
2950,False,2011,79000,4.0,False
6900,True,2016,70189,3.0,False
19800,True,2019,69690,1.0,False
1100,False,2008,164985,,True
1295,False,2007,109000,,True
999,False,2007,111400,2.0,True
1289,False,2010,135000,,True
1200,False,2004,134000,5.0,True
1949,False,2013,114000,,False
1949,False,2013,114000,,False
1195,False,2010,101000,3.0,True
14498,True,2019,53055,,False
1995,False,2007,89000,,True
990,False,2003,69000,3.0,False
2950,False,2011,79000,4.0,False
15900,True,2019,62402,1.0,False
8975,True,2017,86500,,False
3399,False,2011,55000,2.0,False
1990,False,2007,150000,2.0,True
1200,False,2009,95000,3.0,True
1490,False,2008,135800,3.0,True
2250,False,2006,98000,,True
2800,False,2011,106305,4.0,False
2490,False,2011,86000,3.0,False
1695,False,2008,75786,3.0,True
1795,False,2010,99905,5.0,False
2500,False,2011,95000,,False
2495,False,2010,149000,1.0,False
15900,True,2019,62402,1.0,False
10698,True,2020,22782,,False
1795,False,2008,63796,,True
1250,False,2007,178000,4.0,True
988,False,2005,113218,,True
1995,False,2008,88000,,True
1999,False,2009,122000,3.0,True
1449,False,1999,57000,,False
1290,False,2002,119000,4.0,False
1449,False,2008,111400,4.0,True
3295,False,2014,94000,,False
1400,False,2004,155085,2.0,True
1950,False,2012,93000,4.0,False
10698,True,2020,22782,,False
19800,True,2019,69690,1.0,False
2249,False,2009,99000,,True
1390,False,2008,127000,,True
1795,False,2010,104020,4.0,True
1699,False,2009,92000,3.0,True
999,False,2004,99000,,True
700,False,2003,101000,5.0,True
3250,False,2013,100312,3.0,False
3245,False,2012,55000,,False
1250,False,2008,135000,5.0,True
1900,False,2008,132000,6.0,True
3495,True,2015,127000,,False
10000,True,2017,46923,3.0,False
19800,True,2019,69690,1.0,False
1000,False,2008,160000,5.0,True
1490,False,2008,65500,3.0,True
1950,False,2012,93000,4.0,False
1695,False,2007,115000,6.0,True
1750,False,2010,130000,4.0,True
2495,False,2010,149000,1.0,False
1389,False,2002,68000,,False
4490,False,2013,84000,,False
990,False,2004,113000,,False
2849,False,2009,101000,4.0,True
2799,False,2011,99061,,False
9149,True,2016,55301,,False
15900,True,2019,62402,1.0,False
1990,False,2003,84815,5.0,True
3495,True,2015,127000,,False
1600,False,2011,78521,2.0,False
2650,False,2008,85000,,True
2990,False,2009,66000,,True
2495,False,2010,171090,3.0,False
4300,False,2004,100479,3.0,False
2499,False,2008,68000,4.0,True
1500,False,2011,120000,2.0,False
2495,False,2009,113000,6.0,True
2799,False,2011,99061,,False
15900,True,2019,62402,1.0,False
10698,True,2020,22782,,False
2950,False,2011,105000,,False
3300,False,2012,71000,4.0,False
2490,False,2010,67104,1.0,False
1490,False,2007,75000,,True
2495,False,2006,104000,,True
1995,False,2005,75350,3.0,False
3490,False,2006,22641,2.0,True
2490,False,2010,104392,4.0,False
2995,False,2010,104068,,False
2950,False,2011,79000,4.0,False
1950,False,2012,93000,4.0,False
10698,True,2020,22782,,False
10198,True,2016,50028,,False
988,False,2005,111479,2.0,False
3250,False,1995,126000,4.0,False
1389,False,2000,80000,,False
1395,False,2003,99911,4.0,False
2490,False,2007,46000,3.0,True
2895,False,2014,120000,,False
3289,False,2012,79000,,False
3799,False,2014,114000,3.0,False
2945,False,2008,66000,3.0,True
2499,False,2009,65000,3.0,True
798,False,2008,140599,,True
10198,True,2016,50028,,False
10198,True,2016,50028,,False
10000,True,2017,46923,3.0,False
2799,False,2011,99061,,False
995,False,2009,184000,,True
2950,False,2004,139000,,False
1389,False,1999,120000,,False
990,False,2007,85000,,True
1850,False,2009,93000,4.0,True
1990,False,2008,51116,3.0,True
2695,False,2005,69000,,False
1895,False,2007,111998,2.0,True
1995,False,2008,93101,6.0,True
2950,False,2011,105000,,False
10000,True,2017,46923,3.0,False
10198,True,2016,50028,,False
1395,False,2010,45000,,True
2495,False,2007,74325,,True
1498,False,2007,102329,,True
2495,False,2008,97000,2.0,True
1949,False,2011,113000,,False
2700,False,2014,84000,3.0,False
1990,False,2007,43000,,True
1400,False,2006,92000,1.0,True
1500,False,2010,100600,4.0,True
2995,False,2012,100000,,False
999,False,2007,111400,2.0,True
10198,True,2016,50028,,False
15900,True,2019,62402,1.0,False
1300,False,2010,120000,1.0,False
4250,False,2006,95000,,True
2999,False,2007,27682,3.0,True
2495,False,2007,89900,4.0,True
2499,False,2011,80742,3.0,False
2394,False,2008,55926,3.0,True
1999,False,2010,105000,7.0,True
2495,False,2004,132000,,False
3495,False,2010,79000,,True
3995,False,2008,89000,4.0,True
3495,True,2015,127000,,False
15900,True,2019,62402,1.0,False
9600,True,2016,56984,4.0,False
1839,False,2009,103900,4.0,True
2595,False,2010,102000,2.0,False
4700,False,2011,95000,7.0,False
2490,False,2007,36600,,True
2449,False,2012,88240,,False
990,False,2006,130000,1.0,True
1950,False,2008,70345,5.0,True
1390,False,2011,97000,3.0,False
3495,False,2010,112000,2.0,True
1490,False,2004,49000,,False
2799,False,2011,99061,,False
9198,True,2018,78691,,False
10198,True,2016,50028,,False
2350,False,2010,89000,6.0,False
1399,False,2007,171000,1.0,True
1189,False,2005,125000,,True
3889,False,2011,115000,,False
2599,False,2007,99000,1.0,True
2795,False,2011,71000,3.0,False
3995,False,2009,70000,,False
2699,False,2009,97500,,True
3999,False,2014,36000,2.0,False
2700,False,2013,97385,4.0,False
999,False,2007,111400,2.0,True
10198,True,2016,50028,,False
10698,True,2020,22782,,False
3250,False,2013,66800,1.0,False
2898,False,2003,98979,,False
2950,False,2007,98207,4.0,True
1749,False,2006,60000,,True
2495,False,2010,101591,,True
3799,False,2011,68000,2.0,False
1100,False,2006,164470,3.0,True
2490,False,2011,86000,,False
3250,False,2010,90000,,True
3000,False,2010,123000,,False
3495,True,2015,127000,,False
10698,True,2020,22782,,False
10198,True,2016,50028,,False
2995,False,2009,67361,1.0,False
4495,False,2009,116000,3.0,True
3750,False,2010,99000,3.0,False
2945,False,2009,80997,,True
2889,False,2009,100000,,False
995,False,2005,110846,3.0,False
3350,False,2013,65000,4.0,False
2499,False,2008,85578,5.0,True
2100,False,2012,77502,5.0,False
1800,False,2011,130500,2.0,False
